PETPROFILE_ID,PETPROFILE_CUSTOMER_ID,PETPROFILE_MASTER_ID,PETPROFILE_CUSTOMER_MASTER_ID,PETPROFILE_SUBMITTER_ID,PETPROFILE_SUBMITTER_TYPE,PETPROFILE_SUBMITTER_LOGON,PETPROFILE_SUBMITTER_REGISTRATION_DTTM,PETPROFILE_PETNAME,PETPROFILE_PETTYPE_ID,PETPROFILE_PETTYPE_DESCRIPTION,PETPROFILE_PETBREED_ID,PETPROFILE_PETBREED_DESCRIPTION,PETPROFILE_PETBREED_SIZE_TYPE,PETPROFILE_GENDER,PETPROFILE_WEIGHT_TYPE,PETPROFILE_WEIGHT,PETPROFILE_SIZE_TYPE,PETPROFILE_BIRTHDAY,PETPROFILE_BIRTHDAY_ESTIMATED,PETPROFILE_LIFESTAGE,PETPROFILE_ADOPTED,PETPROFILE_ADOPTION_DTTM,PETPROFILE_STATUS,PETPROFILE_STATUS_REASON,PETPROFILE_CREATED_DTTM,PETPROFILE_UPDATED_DTTM,PETPROFILE_PET_ALLERGY_COUNT,PETPROFILE_PET_PHOTO_COUNT,PETPROFILE_LAST_ADDED_DTTM,DW_CREATE_DTTM,DW_UPDATE_DTTM,PETPROFILE_PETPHOTO_URL,PETPROFILE_MED_CONDITION_LIST,PETPROFILE_MEDICATION_LIST,PETPROFILE_FIRST_BIRTHDAY,PETPROFILE_SEVEN_BIRTHDAY,DW_SITE_ID,PETPROFILE_WEIGHT_UOM,PETPROFILE_WEIGHT_METRIC,PETPROFILE_WEIGHT_METRIC_UOM
81054085,144522532,81054085,81054062,153505472,A,cguevera,2021-07-04 09:55:55.000,Achilles,1,Dog,435,German Shepherd,L,MALE,H,67,L,2021-03-01,true,A,true,2021-04-26 04:00:00.000,1,2,2021-05-01 12:24:14.242,2024-07-27 21:01:45.555,1.00,1.00,2021-05-01 12:24:14.264,2025-07-25 17:12:38.437,2025-07-25 17:12:38.437,//img.chewy.com/image/8E71A98E3D05E344F922B58B094679C9,Seizures/Epilepsy,None,2022-03-01,2028-03-01,10,LBR,30.39,KG
201878,5153690,31810342,12029901,178054745,A,jcharles5,2021-10-17 22:05:01.000,Taffy Rose,1,Dog,525,Shih Tzu,XS,FMLE,H,22,SM,2010-11-04,true,S,true,2010-11-20 05:00:00.000,0,0,2018-06-23 14:45:30.753,2022-09-20 22:20:36.224,0.00,2.00,2018-06-23 14:45:30.984,2025-07-25 17:12:38.437,2025-07-25 17:12:38.437,//img.chewy.com/image/6C711D97EAB6A1630A39F79F868C0BA9,Overweight,Aspirin,2011-11-04,2017-11-04,10,LBR,9.98,KG
133512641,45393829,133512641,22366801,45393829,R,,2018-11-01 15:41:48.000,Winnie,1,Dog,444,Greyhound,L,FMLE,,64,L,2020-04-24,false,A,false,,1,,2024-12-11 18:47:29.914,2024-12-11 19:10:58.922,0.00,0.00,,2025-07-25 17:12:38.437,2025-07-25 17:12:38.437,,None,None,2021-04-24,2027-04-24,10,LBR,29.03,KG
110355877,45393829,110355877,22366801,45393829,R,,2018-11-01 15:41:48.000,Cass,1,Dog,444,Greyhound,L,FMLE,,62,L,2017-03-28,false,A,false,,1,,2023-04-17 14:51:24.433,2024-12-11 19:08:31.509,0.00,0.00,,2025-07-25 17:12:38.437,2025-07-25 17:12:38.437,,None,None,2018-03-28,2024-03-28,10,LBR,28.12,KG
121719684,45393829,121719684,22366801,45393829,R,,2018-11-01 15:41:48.000,Stitch,1,Dog,586,Mixed / Unknown,,UNKN,,65,L,,false,,false,,1,,2024-02-12 02:11:09.046,2025-05-27 18:50:48.155,0.00,0.00,,2025-07-25 17:12:38.437,2025-07-25 17:12:38.437,,None,,,,10,LBR,29.48,KG
102298533,45393829,102298533,22366801,45393829,R,,2018-11-01 15:41:48.000,Blackjack Sarah,1,Dog,444,Greyhound,L,FMLE,,65,L,2015-05-05,false,S,false,,1,,2022-09-10 14:51:24.325,2025-01-04 01:55:52.289,0.00,0.00,,2025-07-25 17:12:38.437,2025-07-25 17:12:38.437,,None,None,2016-05-05,2022-05-05,10,LBR,29.48,KG
85810695,45393829,85810695,22366801,45393829,R,,2018-11-01 15:41:48.000,Grayshe,1,Dog,444,Greyhound,L,FMLE,,69,L,2009-04-15,true,S,true,2009-04-15 04:00:00.000,1,,2021-08-15 17:13:09.786,2025-04-02 19:28:15.935,0.00,0.00,,2025-07-25 17:12:38.437,2025-07-25 17:12:38.437,,None,None,2010-04-15,2016-04-15,10,LBR,31.30,KG
61155217,45393829,61155217,22366801,28877,,,,D C Miss Behaving (Missy),1,Dog,444,Greyhound,L,FMLE,,68,L,2015-06-01,false,S,false,,1,,2020-04-30 21:21:09.678,2024-07-24 18:49:59.188,0.00,2.00,2024-07-24 18:49:59.248,2025-07-25 17:12:38.437,2025-07-25 17:12:38.437,//img.chewy.com/image/23A32B0BFF9B93D261F538F73FEE60C3,None,None,2016-06-01,2022-06-01,10,LBR,30.84,KG
4789366,45393829,36397671,22366801,45393829,R,,2018-11-01 15:41:48.000,Black Oak Sassy,1,Dog,444,Greyhound,L,FMLE,,62,L,2011-06-09,false,S,false,,1,,2019-04-01 11:13:34.142,2024-12-11 19:07:16.222,0.00,2.00,2024-12-11 19:07:16.412,2025-07-25 17:12:38.437,2025-07-25 17:12:38.437,//img.chewy.com/image/0BBFD7B21F76AC44986D37D036276A51,None,None,2012-06-09,2018-06-09,10,LBR,28.12,KG
2399427,45393829,34007732,22366801,164084314,A,mmclaughl1,2021-09-05 16:38:46.285,Ale Skittle,1,Dog,444,Greyhound,L,FMLE,H,59,L,2009-06-01,true,S,true,2016-10-25 04:00:00.000,0,0,2018-11-01 11:46:39.149,2022-02-17 15:57:34.467,1.00,2.00,2018-11-01 12:32:27.680,2025-07-25 17:12:38.437,2025-07-25 17:12:38.437,//img.chewy.com/image/AC9024834124909EFC7277D26F35A69F,"None,Other","None,Other,Heartgard",2010-06-01,2016-06-01,10,LBR,26.76,KG
